ce1dc1548e1c	graphiti-init	alpine:latest	Up 29 seconds	
0a402162f55f	augment-mcp-tool-augment-mcp-1	ghcr.io/oculairmedia/augment-mcp:latest	Up 3 hours	0.0.0.0:503->503/tcp, :::503->503/tcp, 8000/tcp
f573193c021b	letta-toolselector-frontend	ghcr.io/oculairmedia/letta-toolselector-frontend:main	Up 3 hours (healthy)	0.0.0.0:8406->80/tcp, :::8406->80/tcp
470f903aba98	letta-toolselector-dashboard-backend	ghcr.io/oculairmedia/letta-toolselector-dashboard-backend:main	Up 3 hours (healthy)	0.0.0.0:8030->8030/tcp, :::8030->8030/tcp
146e87c12fa9	weaviate-tools-sync	ghcr.io/oculairmedia/letta-toolselector-sync-service:main	Up 3 hours	3001/tcp
74fefa8e94ee	letta-toolselector-worker	lettatoolsselector-worker-service	Up 3 hours (healthy)	0.0.0.0:3021->3021/tcp, :::3021->3021/tcp
6d92aea58bb2	toolselector-mcp	ghcr.io/oculairmedia/letta-toolselector-mcp-server:main	Up 3 hours (healthy)	0.0.0.0:3020->3020/tcp, :::3020->3020/tcp
035defe2dcd2	weaviate-tools-api	ghcr.io/oculairmedia/letta-toolselector-api-server:main	Up 3 hours	0.0.0.0:8020->3001/tcp, :::8020->3001/tcp
b3f2f36ed1bb	ollama-reranker-adapter	ghcr.io/oculairmedia/letta-toolselector-reranker-adapter:main	Up 3 hours (healthy)	0.0.0.0:8091->8080/tcp, :::8091->8080/tcp
e6a8a635b067	searxng_app	searxng/searxng:latest	Up 3 hours (healthy)	8080/tcp
aa8b6da62a43	searxng_caddy	caddy:2-alpine	Up 3 hours	80/tcp, 443/tcp, 2019/tcp, 443/udp, 0.0.0.0:8287->8287/tcp, :::8287->8287/tcp
915f00145534	searxng_redis	valkey/valkey:8-alpine	Up 3 hours	0.0.0.0:8284->6379/tcp, :::8284->6379/tcp
64878b41c8f4	claude-code-ui	claudecodeui-claude-code-ui	Up 3 hours (unhealthy)	0.0.0.0:3012->3012/tcp, :::3012->3012/tcp, 0.0.0.0:3014->3014/tcp, :::3014->3014/tcp
8217a0457e58	bookstack-graphiti-webhook	ghcr.io/oculairmedia/bookstack-graphiti-integration-bookstack-graphiti:latest	Up 3 hours (healthy)	8004/tcp, 0.0.0.0:8005->8005/tcp, :::8005->8005/tcp
01e9b8dc0283	jobspy-jobspy_mcp_server-1	oculair/jobspy-mcp:latest	Up 3 hours (healthy)	0.0.0.0:9232->3001/tcp, :::9232->3001/tcp
50f524da955e	meilisearch	getmeili/meilisearch:v1.11	Up 3 hours (healthy)	0.0.0.0:7700->7700/tcp, :::7700->7700/tcp
668ad89211de	mautrix-meta	dock.mau.dev/mautrix/meta:latest	Up 3 hours	
